,pos,title,artist,uri
0,1,Hate That I Made You Love Me,Ariana Grande,spotify:track:20jbSiX29FDX4oQxBXyUEi
1,2,Janice STFU,Drake,spotify:track:514joG57v4yKTsfQmz7stz
2,3,Billie Jean,Michael Jackson,spotify:track:7J1uxwnxfQLu4APicE5Rnj
3,4,The Cure,Olivia Rodrigo,spotify:track:4EoJ151oQ5jY48z4RhSE96
4,5,Swim,BTS,spotify:track:68lbSrXDORS51pmyjZv712
5,6,Dracula,Tame Impala,spotify:track:709ZIqPHyFOpx2QdjmeWAM
6,7,Beauty And A Beat,Justin Bieber,spotify:track:190jyVPHYjAqEaOGmMzdyk
7,8,Choosin' Texas,Ella Langley,spotify:track:65DbTqJKhbwqYbZ1Okr0rc
8,9,Beat It,Michael Jackson,spotify:track:3BovdzfaX4jb5KFQwoPfAw
9,10,Babydoll,Dominic Fike,spotify:track:7yNf9YjeO5JXUE3JEBgnYc
10,11,Man I Need,Olivia Dean,spotify:track:1qbmS6ep2hbBRaEZFpn7BX
11,12,Drop Dead,Olivia Rodrigo,spotify:track:6gkbtMtioHgtyGjrMel6ei
12,13,Ordinary,Alex Warren,spotify:track:6qqrTXSdwiJaq8SO0X2lSe
13,14,Shabang,Drake,spotify:track:6vjpQIdABqntoe3zPazPec
14,15,Golden,HUNTR/X: EJAE,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS
15,16,The Fate Of Ophelia,Taylor Swift,spotify:track:53iuhJlwXhSER5J2IYYv1W
16,17,Earrings,Malcolm Todd,spotify:track:0eAuGrXyGFYwur9ARUe7LJ
17,18,Human Nature,Michael Jackson,spotify:track:4cgjA7B4fJBHyB9Ya2bu0t
18,19,Chicago,Michael Jackson,spotify:track:5BKKy9fIJL5uM9fz1SnqyP
19,20,Lemonade,Aespa,spotify:track:2oR7jPvWPC08Su4KYmKR3O
20,21,National Treasures,Drake,spotify:track:393OFJFZKIIv66JmJcNm9D
21,22,Don't Stop 'Til You Get Enough,Michael Jackson,spotify:track:46eu3SBuFCXWsPT39Yg3tJ
22,23,Ran To Atlanta,Drake,spotify:track:3DK90400cDlV5WUJPraMph
23,24,Whisper My Name,Drake,spotify:track:7KGHenqXZofXNm5MKDbT3J
24,25,DTMF,Bad Bunny,spotify:track:3sK8wGT43QFpWrvNQsrQya
25,26,On The Floor,Jennifer Lopez,spotify:track:3C0nOe05EIt1390bVABLyN
26,27,Self Aware,Temper City,spotify:track:4qW3BbQAwZsrnu8a3ZRdyT
27,28,Lush Life,Zara Larsson,spotify:track:1rIKgCH4H52lrvDcz50hS8
28,29,Stateside,PinkPantheress With Zara Larsson,spotify:track:5G4sAeQLkADT8XXM5hGfuq
29,30,Where Is My Husband!,RAYE,spotify:track:55lijDD6OAjLFFUHU9tcDm
30,31,Risk It All,Bruno Mars,spotify:track:5y2ijHECwFYWqcAHKTZgzD
31,32,Be Her,Ella Langley,spotify:track:05CjWFAcAlY6O9po6Qwakk
32,33,So Easy (To Fall In Love),Olivia Dean,spotify:track:6sGIMrtIzQjdzNndVxe397
33,34,End Of Beginning,Djo,spotify:track:3qhlB30KknSejmIvZZLjOD
34,35,Iris,Goo Goo Dolls,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs
35,36,Back To Friends,sombr,spotify:track:0FTmksd2dxiE5e3rWyJXs6
36,37,Love Me Not,Ravyn Lenae,spotify:track:1UNEuG9DYOWiikf00ayr52
37,38,The One That Got Away,Katy Perry,spotify:track:3oL3XRtkP1WVbMxf7dtTdu
38,39,Daisies,Justin Bieber,spotify:track:5BZsQlgw21vDOAjoqkNgKb
39,40,I Just Might,Bruno Mars,spotify:track:12bYYQaLqHliSXvRIYlq8G
40,41,Mr. Brightside,The Killers,spotify:track:003vvx7Niy0yvhvHt4a68B
41,42,Baile Inolvidable,Bad Bunny,spotify:track:2lTm559tuIvatlT1u0JYG2
42,43,Die With A Smile,Lady Gaga,spotify:track:2plbrEY59IikOBgBGLjaoe
43,44,Boston,Stella Lefty,spotify:track:36idurZmYRjJ56KQ8JD9bN
44,45,Raindance,Dave,spotify:track:3oTuTpF1F3A7rEC6RKsMRz
45,46,Midnight Sun,Zara Larsson,spotify:track:37UCSVSqiPGdR1DijOFyYY
46,47,Smooth Criminal,Michael Jackson,spotify:track:2bCQHF9gdG5BNDVuEIEnNk
47,48,White Keys,Dominic Fike,spotify:track:5ViLKrbyL3HD6wsq3AB9eI
48,49,Beautiful Things,Benson Boone,spotify:track:6tNQ70jh4OwmPGpYy6R2o9
49,50,Nuevayol,Bad Bunny,spotify:track:5TFD2bmFKGhoCRbX61nXY5
50,51,Dreams,Fleetwood Mac,spotify:track:0ofHAoxe9vBkTCp2UQIavz
51,52,2 Hard 4 The Radio,Drake,spotify:track:7COiiObIVJIdBcW3J43Iy2
52,53,Homewrecker,sombr,spotify:track:7tICCrK3CcyRFKza7yrR0z
53,54,REDRED,CORTIS,spotify:track:2fCwv2ppU5nTRTckomIGsd
